accession	domain	phylum	class	order	family	genus	species	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
GB_GCA_963662625.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	JAPOPJ01	JAPOPJ01 sp963662625	0	99.51	0.32	Specific	99.51	0.0	145	k__Archaea (UID2)	103	0.0	1621375	87.23176115754146	1	1178407	63.39959477010251	1858698	GB_GCA_963662625.1	t	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__JAPOPJ01;s__JAPOPJ01 sp963662625	not type material	none	f	1	1	1858698	1858698	1858698	1	2971	OY759726.1	1858698	1	112	OY759726.1	2972	4634	0	94.852	CP010868.951429.954404	Archaea;Thermoproteota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;Candidatus Nitrosopumilus piranensis	1858698	1858698	t	f	f	1858698	1858698	Complete Genome	odXesBerg1.Nitrosopumilus_sp_1.1	na	PRJEB66841	SAMEA114406436	none	none	none	2023-11-17	GCA_963662625.1	derived from metagenome	full	673f8e26-873e-4515-b19f-a0e48533455e	none	none	1	none	Nitrosopumilus sp.	none	na	none	1	1	1858698	1858698	1858698	2023/11/17	0	2024843	none	673f8e26-873e-4515-b19f-a0e48533455e	WELLCOME SANGER INSTITUTE	2024843	d__Archaea;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	d__Archaea;x__TACK group;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus;x__unclassified Nitrosopumilus;s__Nitrosopumilus sp.	0	1858698	none	none	na	1858698	0	na	1988	1	1858698	1	none	none	none	none	none	none	1470	OY759726.1	1470	2549	0	97.959	CP011070.762943.764413	Archaea;Thermoproteota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;Candidatus Nitrosopumilus adriaticus	0	18	47	0
GB_GCA_016838845.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	DRGT01	DRGT01 sp016838845	0	97.2	2.62	Specific	99.51	2.91	145	k__Archaea (UID2)	103	100.0	1372433	90.20713489467762	174	532864	35.02403011915153	1521424	GB_GCA_016838845.1	t	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__DRGT01;s__DRGT01 sp016838845	not type material	none	f	34	34	40454	40454	none	0	none	none	25320	1	112	JAEHKV010000102.1	none	none	none	none	none	none	8743	8743	f	f	t	14847	14847	Contig	ASM1683884v1	na	PRJNA529480	SAMN16755298	174	14847	Atlantic Ocean	2021-02-09	GCA_016838845.1	derived from metagenome	full	NPMR_NP_theta_1	marine sediment	72.00 N 0.10 E	0	1	Nitrosopumilales archaeon	none	na	1	none	none	none	none	none	2021/02/09	0	2026768	0	NPMR_NP_theta_1	University of Bergen	2026768	d__Archaea;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrosopumilales;f__;g__;s__	d__Archaea;x__TACK group;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrosopumilales;x__unclassified Nitrosopumilales;s__Nitrosopumilales archaeon	0	1521424	11	39	na	1521424	0	JAEHKV000000000.1	1965	174	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	19	46	0
GB_GCA_028866895.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosotalea	Nitrosotalea sp028866895	26	99.66	2.79	Specific	99.51	0.0	145	k__Archaea (UID2)	103	0.0	1963328	86.97028088966853	106	1092308	48.39240311732868	2257470	GB_GCA_028866895.1	t	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotalea;s__Nitrosotalea sp028866895	not type material	none	f	7	5	285914	285914	830	4	696	JAGWHF010000051.1	74651	1	109	JAGWHF010000012.1	696	1201	0	97.845	MHZE01000386.1157.4164	Bacteria;Planctomycetota;Brocadiae;Brocadiales;Brocadiaceae;Candidatus Brocadia;Planctomycetes bacterium RIFOXYD12_FULL_42_12	21294	23762	f	f	t	96394	174806	Scaffold	ASM2886689v1	na	PRJNA675967	SAMN16744972	106	96394	China: Jiangxi	2023-02-27	GCA_028866895.1	derived from metagenome	full	REEA70	rare earth elements-acid mine drainage (REEs-AMD) contaminated river water	24.58 N 115.10 E	0	0	Nitrososphaerota archaeon	none	na	6	95	5	174806	84664	33811	2023/02/27	11	2026795	1	REEA70	Sun Yat-sen University	2026795	d__Archaea;p__Nitrososphaerota;c__;o__;f__;g__;s__	d__Archaea;x__TACK group;p__Nitrososphaerota;x__unclassified Nitrososphaerota;s__Nitrososphaerota archaeon	255	2257470	11	44	na	2257215	0	JAGWHF000000000.1	2639	95	184256	1	none	none	none	none	none	none	366	JAGWHF010000004.1	365	664	0	99.452	FJ386379.1.910	Archaea;Thermoproteota;Nitrososphaeria;Nitrosotaleales;Nitrosotaleaceae;Incertae Sedis;uncultured archaeon	255	18	44	0
GB_GCA_016200045.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	UBA183	UBA183	UBA183 sp016200045	0	96.87	2.55	General	99.51	1.94	145	k__Archaea (UID2)	103	0.0	1391743	90.24610871476705	25	903803	58.606153431152585	1542164	GB_GCA_016200045.1	t	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__UBA183;s__UBA183 sp016200045	not type material	none	f	4	4	290472	290472	14062	1	409	JACQFN010000006.1	none	0	none	none	291	348	3.56e-94	88.316	CEPS01036964.1.2086	Archaea;Thermoproteota;Nitrososphaeria;Incertae Sedis;Incertae Sedis;Incertae Sedis;marine metagenome	61686	61686	f	f	t	175215	175215	Contig	ASM1620004v1	na	PRJNA640378	SAMN15435687	25	175215	USA: California; Calistoga	2020-12-21	GCA_016200045.1	derived from metagenome	full	NC_groundwater_1048_Pr1_S-0.65um_58_13	groundwater	38.66837 N 122.58818 W	0	0	Nitrososphaerota archaeon	none	na	1	none	none	none	none	none	2020/12/21	0	2026795	0	NC_groundwater_1048_Pr1_S-0.65um_58_13	Innovative Genomics Institute	2026795	d__Archaea;p__Nitrososphaerota;c__;o__;f__;g__;s__	d__Archaea;x__TACK group;p__Nitrososphaerota;x__unclassified Nitrososphaerota;s__Nitrososphaerota archaeon	0	1542164	11	44	na	1542164	0	JACQFN000000000.1	1730	25	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	18	43	0
GB_GCA_009843815.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	VYCS01	VYCS01 sp009843815	0	99.56	1.12	Specific	99.51	2.27	145	k__Archaea (UID2)	103	100.0	1377411	85.53753958889648	69	724628	45.02878661243868	1610300	GB_GCA_009843815.1	t	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__VYCS01;s__VYCS01 sp009843815	not type material	none	f	16	14	73361	89254	33328	1	2954	VYCS01000007.1	48201	1	111	VYCS01000032.1	2976	3868	0	90.356	JOTD01000053.173727.176713	Archaea;Thermoproteota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;Marine Group I thaumarchaeote SCGC RSA3	23322	33547	t	f	f	36275	48201	Scaffold	ASM984381v1	na	PRJNA555144	SAMN12598637	69	36275	Australia: Great Barrier Reef	2020-01-09	GCA_009843815.1	derived from metagenome	full	SB0675_bin_21	none	18.49 S 147.38 E	0	0	Cenarchaeum sp. SB0675_bin_21	none	na	3	48	14	48201	31257	20135	2020/01/09	21	2604882	1	SB0675_bin_21	University of Queensland	2604882	d__Archaea;p__Nitrososphaerota;c__;o__Candidatus Cenarchaeales;f__Candidatus Cenarchaeaceae;g__Candidatus Cenarchaeum;s__	d__Archaea;x__TACK group;p__Nitrososphaerota;o__Candidatus Cenarchaeales;f__Candidatus Cenarchaeaceae;g__Candidatus Cenarchaeum;x__unclassified Candidatus Cenarchaeum;s__Cenarchaeum sp. SB0675_bin_21	1045	1610300	11	49	na	1609255	0	VYCS00000000.1	1770	48	33328	1	none	none	none	none	none	none	1470	VYCS01000007.1	1470	2222	0	93.946	CP011070.762943.764413	Archaea;Thermoproteota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;Candidatus Nitrosopumilus adriaticus	1045	19	49	0
RS_GCF_002761295.1	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	Methanohalophilus portucalensis	0	99.99	0.1	Specific	99.51	1.96	228	p__Euryarchaeota (UID49)	153	0.0	1857507	89.09013297521552	7	874349	41.94979069460604	2084975	RS_GCF_002761295.1	t	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus portucalensis	type strain of species	LPSN	f	2	1	678535	2084975	2084975	2	2908	NZ_CP017881.1	2084975	3	115	NZ_CP017881.1	2903	5361	0	100	FXBN01000001.268557.271459	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus;Methanohalophilus portucalensis FDF-1	297753	2084975	t	f	f	432986	2084975	Chromosome	ASM276129v1	na	PRJNA224116	SAMN05908879	7	432986	Portugal: Figeria da Foz; solar saltern	2017-11-07	GCA_002761295.1	none	full	na	sediments from a salinarium in Figeria da Foz	40.15105 N 8.870116 W	1	0	Methanohalophilus portucalensis	2081	representative genome	7	1	1	2084975	2084975	2084975	2017/11/07	7	39664	2	FDF-1T	Macumba	39664	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus portucalensis	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus portucalensis	700	2084975	11	49	assembly from type material	2084275	0	na	2108	1	2084975	2	none	none	none	none	none	none	1476	NZ_CP017881.1	1476	2726	0	100	CP017881.2003649.2005131	Archaea;Halobacteriota;Methanosarcinia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus;Methanohalophilus portucalensis	700	19	49	0
GB_GCA_036555705.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	JARBAU01	JARBAU01 sp029237525	0	93.54	2.41	Specific	99.51	0.97	145	k__Archaea (UID2)	103	0.0	2663597	69.13402245949831	274	1405445	36.47851615525532	3852802	GB_GCA_036555705.1	t	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__JARBAU01;s__JARBAU01 sp029237525	not type material	none	f	41	41	261487	261487	26283	1	2041	DATBKT010000126.1	26283	1	111	DATBKT010000126.1	2048	2693	0	90.479	GU797787.1.2841	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera;Candidatus Nitrososphaera gargensis	14061	14061	t	f	f	22373	22373	Contig	ASM3655570v1	na	PRJNA983538	SAMN37958854	274	22373	none	2024-02-12	GCA_036555705.1	derived from metagenome	full	SMAG_U3953	none	none	0	0	Nitrososphaeraceae archaeon	none	na	4	none	none	none	none	none	2024/02/12	0	2169593	1	SMAG_U3953	Zhejiang University	2169593	d__Archaea;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	d__Archaea;x__TACK group;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;x__unclassified Nitrososphaeraceae;s__Nitrososphaeraceae archaeon	0	3852802	11	43	na	3852802	0	DATBKT000000000.1	4543	274	26283	1	none	none	none	none	none	none	1468	DATBKT010000126.1	1440	2477	0	97.708	EU155997.1.1440	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Incertae Sedis;uncultured archaeon	0	19	42	0
GB_GCA_029907705.1	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	JACTUA01	JARYLJ01	JARYLJ01 sp029907705	0	98.85	0.67	Specific	99.51	0.65	234	p__Euryarchaeota (UID54)	153	0.0	1507606	84.29010081673182	72	1008029	56.36510340014941	1788592	GB_GCA_029907705.1	t	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__JACTUA01;g__JARYLJ01;s__JARYLJ01 sp029907705	not type material	none	f	14	14	104685	104685	none	0	none	none	2473	1	115	JARYLJ010000066.1	none	none	none	none	none	none	24838	25551	f	f	t	44679	44679	Scaffold	ASM2990770v1	na	PRJNA865764	SAMN33143187	72	44679	Russia: Sakhalin; Daginskiye Thermal Springs	2023-04-30	GCA_029907705.1	derived from metagenome	full	A05DMB-I-03	enrichment culture from terrestrial mud volcano	52.043 N 143.084 E	0	0	Methanomicrobiales archaeon	none	na	1	70	14	44679	23872	11980	2023/04/30	2	2184052	0	A05DMB-I-03	Research Center of Biotechnology RAS	2184052	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__;g__;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanomicrobiales;x__unclassified Methanomicrobiales;s__Methanomicrobiales archaeon	200	1788592	11	47	na	1788392	0	JARYLJ000000000.1	1843	70	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	200	19	47	0
GB_GCA_938091495.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	JACAEJ01	JACAEJ01	JACAEJ01 sp938091495	0	96.6	1.71	General	99.51	0.97	145	k__Archaea (UID2)	103	0.0	1237732	89.28113127384441	59	539242	38.89705993734541	1386331	GB_GCA_938091495.1	t	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__JACAEJ01;g__JACAEJ01;s__JACAEJ01 sp938091495	not type material	none	f	14	14	99255	99255	34252	1	3024	CALLJF010000042.1	28091	1	110	CALLJF010000024.1	3083	2948	0	84.463	JQ085825.14669.17721	Archaea;Thermoproteota;Nitrososphaeria;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured archaeon W5-61a	23497	23497	f	f	t	29666	29666	Contig	S1_Bin_METABAT__299_1	na	PRJEB50838	SAMEA14074233	59	29666	none	2023-01-25	GCA_938091495.1	derived from metagenome	full	S1_Bin_METABAT__299_1	Seawater	none	0	none	uncultured Nitrososphaerales archaeon	none	na	none	none	none	none	none	none	2023/01/25	0	1740634	none	S1_Bin_METABAT__299_1	marine college, shandong university	1740634	d__Archaea;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrososphaerales;f__;g__;s__	d__Archaea;x__TACK group;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrososphaerales;x__environmental samples;s__uncultured Nitrososphaerales archaeon	0	1386331	none	none	na	1386331	0	CALLJF000000000.1	1645	59	34252	1	none	none	none	none	none	none	829	CALLJF010000042.1	779	1404	0	99.23	AY555832.1.1082	Archaea;Thermoproteota;Nitrososphaeria;SCGC AB-179-E04;Incertae Sedis;Incertae Sedis;uncultured archaeon	0	19	44	0
GB_GCA_011605775.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	JAAOZN01	JAAOZN01	JAAOZN01 sp011605775	0	99.58	3.89	General	99.51	2.43	145	k__Archaea (UID2)	103	33.33	1479425	91.12178170438092	107	765824	47.16916866483654	1623569	GB_GCA_011605775.1	t	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__JAAOZN01;g__JAAOZN01;s__JAAOZN01 sp011605775	not type material	none	f	24	24	67434	67434	none	0	none	none	none	0	none	none	none	none	none	none	none	none	15173	15173	f	f	t	21143	21143	Contig	ASM1160577v1	na	PRJNA604268	SAMN13964312	107	21143	USA: Yellowstone National Park; Smokejumper3 Hot Spring	2020-03-22	GCA_011605775.1	derived from metagenome	full	SJ3.Bin66	sediments from hot spring shelf	44.41595 N 110.9558 W	0	0	Nitrososphaerota archaeon	none	na	2	none	none	none	none	none	2020/03/22	0	2026795	1	SJ3.Bin66	Montana State University	2026795	d__Archaea;p__Nitrososphaerota;c__;o__;f__;g__;s__	d__Archaea;x__TACK group;p__Nitrososphaerota;x__unclassified Nitrososphaerota;s__Nitrososphaerota archaeon	0	1623569	11	42	na	1623569	0	JAAOZN000000000.1	1929	107	25077	1	none	none	none	none	none	none	785	JAAOZN010000028.1	780	1441	0	100	KX213918.1.1369	Archaea;Thermoproteota;Nitrososphaeria;SCGC AB-179-E04;Incertae Sedis;Incertae Sedis;uncultured archaeon	0	19	40	0
GB_GCA_035631875.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	TA-20	TA-20 sp035631875	0	99.99	0.07	Specific	99.51	0.0	145	k__Archaea (UID2)	103	0.0	1570643	89.41951211736146	13	616921	35.12241472757002	1756488	GB_GCA_035631875.1	t	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__TA-20;s__TA-20 sp035631875	not type material	none	f	2	2	502598	502598	11323	1	2983	DASQHX010000003.1	375851	1	110	DASQHX010000011.1	2990	3917	0	90.435	LN890280.1344631.1347617	Archaea;Thermoproteota;Nitrososphaeria;Nitrosotaleales;Nitrosotaleaceae;Candidatus Nitrosotalea;Candidatus Nitrosotalea devanaterra	135114	135114	t	f	f	375851	375851	Contig	ASM3563187v1	na	PRJNA983538	SAMN37945568	13	375851	none	2024-01-14	GCA_035631875.1	derived from metagenome	full	SMAG_U11844	none	none	0	0	Nitrosopumilaceae archaeon	none	na	4	none	none	none	none	none	2024/01/14	0	2202732	1	SMAG_U11844	Zhejiang University	2202732	d__Archaea;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__;s__	d__Archaea;x__TACK group;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;x__unclassified Nitrosopumilaceae;s__Nitrosopumilaceae archaeon	0	1756488	11	44	na	1756488	0	DASQHX000000000.1	2020	13	46243	1	none	none	none	none	none	none	1469	DASQHX010000004.1	1402	2538	0	99.358	AB294262.1.1402	Archaea;Thermoproteota;Nitrososphaeria;Nitrosotaleales;Nitrosotaleaceae;Incertae Sedis;uncultured archaeon	0	18	44	0
GB_GCA_029688825.1	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	JARUKX01	JARUKX01 sp029688825	0	100.0	3.32	Specific	99.5	1.49	359	f__Halobacteriaceae (UID84)	235	0.0	3722915	87.29562848308248	111	2741473	64.28258730172502	4264721	GB_GCA_029688825.1	t	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__JARUKX01;s__JARUKX01 sp029688825	not type material	none	f	15	15	246258	246258	3342	2	1557	JARUKX010000111.1	none	0	none	none	1560	1781	0	87.436	BBMO01000002.1136424.1139330	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Halapricum;Halapricum salinum	38420	38420	f	f	t	80215	80215	Contig	ASM2968882v1	na	PRJNA949680	SAMN33954829	111	80215	Russia: Altai region; Kulunda Steppe	2023-04-11	GCA_029688825.1	none	full	na	anaerobic sediment from hypersaline soda lake	none	0	0	Haloarculaceae archaeon H-GB1-1	none	na	3	none	none	none	none	none	2023/04/11	0	3037652	1	H-GB1-1	Research Center of Biotechnology RAS	3037652	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;x__unclassified Haloarculaceae;s__Haloarculaceae archaeon H-GB1-1	0	4264721	11	42	na	4264721	0	JARUKX000000000.1	4319	111	3342	1	none	none	none	none	none	none	1472	JARUKX010000111.1	1476	2015	0	91.396	KM405436.1.1472	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Halococcoides;Halobacteriaceae archaeon SY-39	0	18	42	0
RS_GCF_001484685.1	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_A	Thermococcus_A sp001484685	0	99.83	0.32	Specific	99.5	1.49	299	p__Euryarchaeota (UID4)	202	0.0	1765222	90.00627670211567	1	874642	44.59680984447954	1961221	RS_GCF_001484685.1	t	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus_A;s__Thermococcus_A sp001484685	not type material	none	f	1	1	1961221	1961221	1961221	1	3015	NZ_CP012200.1	1961221	2	104	NZ_CP012200.1	3015	5568	0	100	CP012200.38561.41585	Archaea;Methanobacteriota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus sp. 2319x1	1961221	1961221	t	f	f	1961221	1961221	Complete Genome	ASM148468v1	na	PRJNA224116	SAMN03892931	none	none	Russia: Kunashir Island	2016-01-04	GCA_001484685.1	none	full	na	hot spring	none	1	0	Thermococcus sp. 2319x1	2137	na	4	1	1	1961221	1961221	1961221	2016/01/04	0	1674923	1	2319x1	Hotzyme	1674923	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__	d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;x__unclassified Thermococcus;s__Thermococcus sp. 2319x1	0	1961221	11	46	na	1961221	0	na	2174	1	1961221	1	none	none	none	none	none	none	1486	NZ_CP012200.1	1484	2741	0	100	CP012200.36826.38318	Archaea;Methanobacteriota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus sp. 2319x1	0	19	46	0
RS_GCF_009831455.1	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Salinirussus	Salinirussus salinus	0	99.78	1.28	Specific	99.5	0.0	359	f__Halobacteriaceae (UID84)	235	0.0	2989328	88.72984504108314	4	2315264	68.72213954079255	3369022	RS_GCF_009831455.1	t	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Salinirussus;s__Salinirussus salinus	type strain of species	LPSN	t	2	2	1267114	1267114	695283	1	2901	NZ_WOWO01000004.1	695283	1	115	NZ_WOWO01000004.1	2903	3879	0	90.872	CP001687.1667809.1670714	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Halorhabdus;Halorhabdus utahensis DSM 12940	842255	842255	t	f	f	771916	771916	Contig	ASM983145v1	na	PRJNA224116	SAMN13439345	4	771916	China: Yinggehai; Hainan Province	2020-01-06	GCA_009831455.1	none	full	na	marine solar saltern	none	0	0	Salinirussus salinus	none	representative genome	3	none	none	none	none	none	2020/01/06	0	1198300	1	YGH44	Jiangsu University	1198300	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Salinirussus;s__Salinirussus salinus	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Salinirussus;s__Salinirussus salinus	0	3369022	11	56	assembly from type material	3369022	0	WOWO00000000.1	3471	4	695283	1	none	none	none	none	none	none	1471	NZ_WOWO01000004.1	1471	2712	0	99.932	JQ937358.1.1471	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Salinirussus;Salinirussus salinus	0	19	56	0
RS_GCF_037645885.1	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Salinibaculum	Salinibaculum sp037645885	0	99.92	2.17	Specific	99.5	1.28	359	f__Halobacteriaceae (UID84)	235	0.0	3220081	87.88785682391101	52	2232014	60.91987340099983	3663852	RS_GCF_037645885.1	t	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Salinibaculum;s__Salinibaculum sp037645885	not type material	none	f	6	6	556362	556362	38170	4	2908	NZ_JBBENW010000027.1	118169	2	116	NZ_JBBENW010000015.1	2913	3864	0	90.766	CP001687.1667809.1670714	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Halorhabdus;Halorhabdus utahensis DSM 12940	70458	70458	t	f	f	194659	194659	Contig	ASM3764588v1	na	PRJNA224116	SAMN40373478	52	194659	none	2024-03-26	GCA_037645885.1	none	full	na	none	none	0	0	Salinibaculum sp. YCN56	none	na	8	none	none	none	none	none	2024/03/26	0	3131996	2	YCN56	Jiangsu University	3131996	d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Salinibaculum;s__	d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Salinibaculum;x__unclassified Salinibaculum;s__Salinibaculum sp. YCN56	0	3663852	11	57	na	3663852	0	JBBENW000000000.1	3779	52	38170	2	none	none	none	none	none	none	1474	NZ_JBBENW010000027.1	1348	2418	0	99.036	CU467265.1.1348	Archaea;Halobacteriota;Halobacteria;Halobacterales;Halomicrobiaceae;Salinibaculum;uncultured archaeon	0	19	53	0
